Reference,Quantity,Value,Footprint,MPN,Supplier,Supplier Part Number,Supplier URL,Unit Cost TL,Subtotal TL,Role
C1,1,1000µF / 100V electrolytic,Radial,1000µF/100V,Direnc.net,TBD,https://www.direnc.net/kondansatorler,25.0,25.0,DC-link bulk storage.
R1,1,100kΩ / 2W bleeder,Axial,100k/2W,Direnc.net,TBD,https://www.direnc.net/direncler,2.0,2.0,Safety discharge path.
F1,1,15 A blade fuse + holder,Standard,15A,Robotistan,TBD,https://www.robotistan.com/,8.0,8.0,Short-circuit protection.
R2-R15,14,220Ω 1/4W 5%,Axial,R-220R-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,4.2,"TLP250 LED limit (×8) + 6N137 LED (×6)."
R16-R23,8,22Ω 1/4W 5%,Axial,R-22R-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,2.4,Gate series resistor (per MOSFET).
R24-R31,8,10kΩ 1/4W 5%,Axial,R-10K-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,2.4,Gate-source pull-down (per MOSFET).
C2-C31,30,100nF / 25V ceramic,THT,C-100nF,Direnc.net,TBD,https://www.direnc.net/kondansatorler,0.5,15.0,"Decoupling on TLP250 + 6N137 + MCP3201 + B0515 + voltage divider + bypass."
C32-C35,4,10µF / 25V (per HS channel),THT,C-10uF,Direnc.net,TBD,https://www.direnc.net/kondansatorler,1.5,6.0,Bootstrap energy storage on each high-side channel.
R32-R39,8,22Ω 2W wire-wound,Axial,R-22R-2W,Direnc.net,TBD,https://www.direnc.net/direncler,1.5,12.0,Snubber damping resistor (D-S of each MOSFET).
C36-C43,8,2.2nF / 630V film,Box,C-2n2-630V,Direnc.net,TBD,https://www.direnc.net/kondansatorler,3.0,24.0,Snubber capacitor (in series with the 22Ω 2W resistor).
R40-R41,2,1Ω 1/4W,Axial,R-1R0-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,0.6,B0515S current balancing (×2 parallels per bridge).
C44,1,100µF / 25V electrolytic,Radial,C-100uF,Direnc.net,TBD,https://www.direnc.net/kondansatorler,1.0,1.0,B0515S output filter.
R42,1,100kΩ 1% metal-film,Axial,R-100K-0.25W-1%,Direnc.net,TBD,https://www.direnc.net/direncler,0.5,0.5,Voltage divider — top (DC bus sense).
R43,1,5.1kΩ 1% metal-film,Axial,R-5K1-0.25W-1%,Direnc.net,TBD,https://www.direnc.net/direncler,0.5,0.5,Voltage divider — bottom.
R44-R46,3,4.7kΩ 1/4W,Axial,R-4K7-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,0.9,6N137 output pull-up.
C45,1,1µF / 25V ceramic,THT,C-1uF,Direnc.net,TBD,https://www.direnc.net/kondansatorler,1.0,1.0,78L05 input filter.
C46,1,10µF / 16V electrolytic,Radial,C-10uF-16V,Direnc.net,TBD,https://www.direnc.net/kondansatorler,0.5,0.5,78L05 output filter.
R47,1,1kΩ 1/4W,Axial,R-1K0-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,0.3,ACS712 output divider — top.
R48,1,1.5kΩ 1/4W,Axial,R-1K5-0.25W,Direnc.net,TBD,https://www.direnc.net/direncler,0.3,0.3,ACS712 output divider — bottom.
J1-J3,3,Screw terminal 2-pos 15A+ 5.08mm,PCB,XY-MT-508,Direnc.net,TBD,https://www.direnc.net/konnektorler,5.0,15.0,2× DC input + 1× AC output.
J4,1,Pin header 2×10 (2.54mm male),THT,2x10-PIN,Direnc.net,TBD,https://www.direnc.net/konnektorler,3.0,3.0,Controller interface (signals to STM32 Nucleo).
HS1-HS4,4,TO-220 clip-on heatsink,TO-220,TO-220-HS,Robotistan,TBD,https://www.robotistan.com/,5.0,20.0,MOSFET cooling.
W1,1,18 AWG silicone wire (red + black bundle),2m each,18AWG-SI,Robotistan,TBD,https://www.robotistan.com/,30.0,30.0,Power-stage wiring.
S1-S17,17,DIP-8 IC turned-pin socket,DIP-8,DIP-8-SKT,Direnc.net,TBD,https://www.direnc.net/entegre-soketleri,1.5,25.5,"Sockets for TLP250 (×8) + 6N137 (×6) + MCP3201 (×3) per assembled module."
